id ,aimag,sum,point_name,PID,B_gradWGS84,B_minWGS84,B_secWGS84,L_gradWGS84,L_minWGS84,L_secWGS84,N_UTM,E_UTM,ondor,B_degree,L_degree
347,Завхан,Эрдэнэ-Хайрхан,Пц-3705,GPSB00199,48,7,14.226252,95,42,52.891318,5334928.0749,255517.0613,1906.976,48.1206184033333,95.7146920327778
348,Завхан,Идэр,Овоот уул,M47182,48,4,38.903344,97,33,59.428647,5325904.9939,393229.3181,2618.013,48.0774731511111,97.5665079575
349,Завхан,Яруу,Өндөр мандал,M47055,48,10,40.822063,96,28,57.408905,5339149.698,312867.8041,2894.687,48.1780061286111,96.4826135847222
350,Завхан,Яруу,Их үргэтц,M47174,48,0,38.355975,96,24,47.875201,5320722.1064,307090.2526,2614.286,48.0106544375,96.4132986669445
351,Өвөрхангай,Арвайхээр,990,GPSB00200,46,16,5.604263,102,46,57.10381,5126239.487,329129.4741,1834.733,46.2682234063889,102.782528836111
352,Өвөрхангай,Бат-өлзий ,Шахлага,GPSB00201,46,52,27.027134,102,14,2.612342,5194896.194,289229.8466,1837.971,46.8741742038889,102.234058983889
353,Өвөрхангай,Бат-өлзий ,ГЦТ 0011,GPSB00202,46,48,59.093046,102,14,12.382935,5188470.953,289210.6778,1675.586,46.816414735,102.2367730375
354,Өвөрхангай,Бат-өлзий ,ГЦТ3762,GPSB00203,46,45,40.20775,101,56,25.534146,5182823.373,724535.8284,1910.544,46.7611688194444,101.940426151667
355,Өвөрхангай,Баян Өндөр ,Бор овоо ,L480118,46,32,18.267076,103,59,8.288724,5154370.853,422220.9522,1916.764,46.5384075211111,103.985635756667
356,Өвөрхангай,Баян Өндөр ,Баян овоо,L480143,46,15,57.553217,104,27,59.031055,5123739.517,458880.3823,1655.004,46.2659870047222,104.466397515278
357,Өвөрхангай,Баян Өндөр , Улаан толгой,L480145,46,8,34.424122,104,20,14.793451,5110137.716,448828.9209,1587.815,46.1428955894444,104.337442625278
358,Өвөрхангай,Баян Өндөр ,Ухаа овоо ,GPSB00204,46,44,22.623693,103,55,34.549857,5176789.193,417973.1458,1787.23,46.7396176925,103.926263849167
359,Өвөрхангай,Баян Өндөр ,Гэр Чулуу уул,L480122,46,39,19.524749,104,3,50.234501,5167299.209,428380.5303,1826.072,46.6554235413889,104.063954028056
360,Өвөрхангай,Баян Өндөр ,Их Тээрэм уул,L480125,46,23,23.874137,104,26,42.461704,5137526.342,457337.8637,1854.872,46.3899650380556,104.445128251111
361,Өвөрхангай,Баян Өндөр ,Бор өндөр,L480142,46,17,3.89895,104,14,2.304445,5125934.019,440989.5173,1695.654,46.284416375,104.233973456944
362,Өвөрхангай,Богд,62-7192,L481033,44,17,53.532246,102,30,13.799779,4908024.8019,300875.4974,1511.284,44.2982034016667,102.503833271944
363,Өвөрхангай,Бүрд,ПЦ1638,L480339,47,16,55.051936,104,0,25.998575,5236975.861,424921.7442,1558.056,47.2819588711111,104.007221826389
364,Өвөрхангай,Бүрд,Гурван уул,GPSB00205,47,2,21.677012,104,3,24.179896,5209969.187,428339.2395,1837.53,47.0393547255556,104.056716637778
365,Өвөрхангай,Бүрд,Их Монгол,L480077,47,10,20.817323,103,53,12.237128,5224929.195,415636.3027,1674.565,47.1724492563889,103.886732535556
366,Өвөрхангай,Бүрд,146,GPSB00206,47,7,41.241222,103,56,9.092854,5219951.377,419292.0145,1704.429,47.1281225616667,103.935859126111
367,Өвөрхангай,Бүрд,Сэртэн овоо,GPSB00207,46,57,27.765137,103,57,22.153982,5200993.652,420578.6997,1762.274,46.9577125380556,103.956153883889
368,Өвөрхангай,Бүрд,Отгон уул,GPSB00208,46,57,55.526635,103,50,12.109582,5201978.547,411502.5978,1905.247,46.9654240652778,103.836697106111
369,Өвөрхангай,Бүрд,Дөрвөлжин уул,GPSB00209,46,54,19.133953,103,55,40.465354,5195200.046,418349.9465,1823.478,46.9053149869444,103.927907042778
370,Өвөрхангай,Бүрд,Үст уул,L480084,47,1,39.792772,104,13,18.242134,5208538.447,440862.6083,2180.296,47.0277202144444,104.221733926111
371,Өвөрхангай,Бүрд,Багахаан,GPSB00210,47,7,47.874231,104,11,34.413872,5219922.809,438788.3045,2078.496,47.1299650641667,104.192892742222
372,Өвөрхангай,Бүрд,Батхаан,L480082,47,9,51.282714,104,9,3.373974,5223766.011,435647.7671,2117.904,47.1642451983333,104.150937215
373,Өвөрхангай,Бүрд,Жаргалант,GPSB00211,47,5,30.450493,104,8,7.712201,5215727.265,434386.8635,1649.995,47.0917918036111,104.135475611389
374,Өвөрхангай,Бүрд,Бичигт,GPSB00212,47,5,30.57111,104,16,17.342419,5215625.875,444709.2208,2175.613,47.0918253083333,104.271484005278
375,Өвөрхангай,Бүрд,Хараат,GPSB00213,47,0,46.246727,104,6,50.111002,5206972.639,432651.5693,2006.795,47.0128463130556,104.113919722778
376,Өвөрхангай,Бүрд,ПЦ173,GPSB00214,46,51,5.011932,103,55,51.47323,5189204.82,418501.2076,1715.918,46.8513922033333,103.930964786111
377,Өвөрхангай,Бүрд,ПЦ5507,GPSB00215,46,58,48.763604,103,47,17.627879,5203677.723,407840.9431,1499.423,46.9802121122222,103.788229966389
378,Өвөрхангай,Бүрд,Эхэн өндөр,GPSB00216,46,59,41.70886,103,54,27.348527,5205178.559,416941.889,1762.487,46.9949191277778,103.907596813056
379,Өвөрхангай,Бүрд,ПЦ138,GPSB00217,47,10,57.976861,103,58,50.475343,5225979.085,422771.1523,1737.271,47.1827713502778,103.980687595278
380,Өвөрхангай,Бүрд,ПЦ1227,L480206,47,13,28.615851,104,2,43.044874,5230567.337,427722.6386,1758.85,47.2246155141667,104.045290242778
381,Өвөрхангай,Бүрд,Сант,L480078,47,7,18.688168,103,42,32.894548,5219514.219,402085.3793,1782.168,47.1218578244445,103.709137374444
382,Өвөрхангай,Бүрд,Хойд шилүүстэй,L480078,47,16,59.659103,103,46,40.349425,5237364.412,407579.9311,1525.063,47.2832386397222,103.777874840278
383,Өвөрхангай,Бүрд,Бурхан овоо,GPSB00218,46,58,12.963017,103,32,23.028247,5202894.896,388921.376,1691.274,46.9702675047222,103.539730068611
384,Өвөрхангай,Бүрд,Яргайт,L480096,46,57,5.384813,103,39,54.186905,5200638.9,398418.6057,1806.132,46.9514957813889,103.665051918056
385,Өвөрхангай,Есөн зүйл ,Наран овоо,L480098,46,48,11.619809,103,49,45.914384,5183963.106,410680.215,1971.478,46.8032277247222,103.829420662222
386,Өвөрхангай,Есөн зүйл ,Дөлгөөн уул     ,GPSB00219,46,41,10.816623,103,43,27.355026,5171099.234,402445.8611,2127.683,46.6863379508333,103.724265285
387,Өвөрхангай,Есөн зүйл ,191,GPSB00220,46,36,38.503189,103,53,39.553703,5162497.291,415331.7472,2004.911,46.6106953302778,103.894320473056
388,Өвөрхангай,Есөн зүйл ,Цавчир ,L480121,46,22,22.071236,103,55,34.800534,5136029.284,417423.8451,1807.697,46.3727975655556,103.926333481667
389,Өвөрхангай,Есөн зүйл ,Асгат-175,GPSB00221,46,44,39.068199,103,50,28.532043,5177388.924,411486.8169,1926.761,46.7441856108333,103.841258900833
390,Өвөрхангай,Есөн зүйл ,Алтан овоо,L480100,46,40,43.332536,103,54,30.310765,5170039.196,416516.0924,2115.748,46.6787034822222,103.908419656944
391,Өвөрхангай,Есөн зүйл ,Эргэцгийн гол,L480119,46,30,46.673492,103,49,8.040497,5151721.581,409393.8507,1926.494,46.5129648588889,103.818900138056
392,Өвөрхангай,Есөн зүйл,Тр 181,GPSB00222,46,47,42.521162,103,22,27.793179,5183682.689,375941.2775,1799.836,46.7951447672222,103.374386994167
393,Өвөрхангай,Есөн зүйл,Зүүн хайрхан,L480116,46,39,32.655874,103,33,54.75822,5168278.76,390228.0453,2406.741,46.6590710761111,103.565210616667
394,Өвөрхангай,Есөн зүйл,Саргол,GPSB00223,46,58,47.324003,103,21,23.735705,5204231.407,375013.1636,1844.837,46.9798122230556,103.356593251389
395,Өвөрхангай,Есөн зүйл,Сар-Овоо,GPSB00224,46,52,16.832247,103,23,44.876108,5192116.208,377748.2568,1694.788,46.8713422908333,103.395798918889
396,Өвөрхангай,Зүүнбаян Улаан ,49,GPSB00225,46,33,11.889263,102,43,48.303505,5158029.234,325997.7749,1881.983,46.5533025730556,102.730084306944
397,Өвөрхангай,Зүүнбаян Улаан ,Жаргалант ула,L480024,46,36,20.492701,102,53,21.263602,5163511.716,338353.5049,2416.115,46.6056924169444,102.889239889444
398,Өвөрхангай,Нарийн тээл,Цохионы худаг,L47048,45,49,25.218588,101,47,19.964797,5078239.2886,716631.9446,2055.776,45.82367183,101.788879110278
399,Өвөрхангай,Өлзийт,Зоост овоо,L480138,46,14,9.949376,103,33,57.375226,5121279.459,389430.9492,1730.97,46.2360970488889,103.565937562778
400,Өвөрхангай,Өлзийт,Өлзийт,L480120,46,24,46.122343,103,32,42.352596,5140943.772,388184.8763,1982.129,46.4128117619444,103.545097943333
401,Өвөрхангай,Сант,Сайншанд,L480147,46,4,31.990896,104,0,11.236163,5102925.032,422914.6345,1683.045,46.0755530266667,104.003121156389
402,Өвөрхангай,Сант,Ухаа овоо.,L480141,46,6,45.163739,103,49,55.088032,5107215.294,409740.431,1607.295,46.1125454830556,103.831968897778
403,Өвөрхангай,Сант,Гичгэнэ уул,L480139,46,13,46.768756,103,52,10.05281,5120185.701,412822.7214,1658.898,46.2296579877778,103.869459113889
404,Өвөрхангай,Төгрөг,Дулаан хэц,L480983,44,59,4.920146,103,31,53.302104,4982299.72,384226.7679,1352.813,44.9847000405556,103.531472806667
405,Өвөрхангай,Төгрөг,Хонгорын тал,L480964,45,14,42.174237,103,15,14.107086,5011655.717,362970.0959,1378.927,45.2450483991667,103.253918635
406,Өвөрхангай,Төгрөг,Их хонгор уул,L480947,45,29,56.191338,103,13,2.727626,5039924.416,360730.817,1513.259,45.4989420383333,103.217424340556
407,Өвөрхангай,Төгрөг,6188,GPSB00226,45,32,36.68576,102,59,56.956964,5045279.01,343801.3993,1415.759,45.5435238222222,102.999154712222
408,Өвөрхангай,Төгрөг,Ухаа овоот толгой,L480966,45,11,48.129453,103,33,1.863109,5005823.85,386150.2368,1383.702,45.1967026258333,103.550517530278
409,Өвөрхангай,Төгрөг,Зүлгүүрт уул,L480920,45,3,55.208398,103,4,36.873512,4992007.38,348603.4155,1473.743,45.0653356661111,103.076909308889
410,Өвөрхангай,Уянга,ГХГЗЗГ6126,GPSB00227,46,27,39.767854,102,15,50.640077,5148912.313,289920.774,2039.715,46.4610466261111,102.264066688056
411,Өвөрхангай,Уянга,БНМАУ 0943,GPSB00228,46,27,53.545593,102,15,47.069574,5149340.184,289859.3573,2028.422,46.4648737758333,102.263074881667
412,Өвөрхангай,Уянга,ГЦТ3756,GPSB00229,46,27,27.519843,102,17,20.457809,5148468.234,291823.4694,1993.11,46.4576444008333,102.289016058056
413,Өвөрхангай,Хайрхан дулаан,Хүрэн бух уул,L47243,45,57,23.18679,101,48,4.279903,5093023.493,717069.8953,2526.87,45.956440775,101.801188861944
414,Өвөрхангай,Хайрхан дулаан ,991,GPSB00230,45,56,53.892264,102,2,57.988628,5092537.384,271321.959,1899.526,45.9483034066667,102.049441285556
415,Өвөрхангай,Хайрхан дулаан ,992,GPSB00231,45,56,59.603187,102,4,46.761817,5092627.33,273670.1,1887.263,45.9498897741667,102.079656060278
416,Өвөрхангай,Хархорин ,Хэлтгий,GPSB00232,47,16,56.207067,102,54,13.616233,5238664.594,341477.8984,1436.657,47.2822797408333,102.903782286944
417,Өвөрхангай,Хархорин ,ГЦТ 5500,GPSB00233,47,13,26.352589,102,56,21.487205,5232115.132,343992.7445,1456.218,47.2239868302778,102.939302001389
418,Өвөрхангай,Хархорин ,Эрдэнэ,L480066,47,12,44.070631,102,55,13.870424,5230847.694,342536.0664,1457.223,47.2122418419445,102.920519562222
419,Өвөрхангай,Хархорин,Сант уул Тр135,GPSB00234,47,2,16.895997,103,11,6.370698,5210988.211,362120.9433,1756.076,47.0380266658333,103.185102971667
420,Өвөрхангай,Хархорин,Тр 131,GPSB00235,47,6,32.277015,103,15,2.024851,5218758.032,367270.1383,1786.883,47.1089658375,103.250562458611
421,Өвөрхангай,Хужирт ,Тр 155,GPSB00236,46,53,56.277456,103,16,24.477408,5195383.589,368493.3148,1778.108,46.89896596,103.273465946667
422,Өвөрхангай,Хужирт ,Ац уул,L480091,46,52,48.642529,102,58,26.512302,5193841.438,345632.6215,2107.242,46.8801784802778,102.974031195
423,Өмнөговь,Баяндалай,ГЦХ1 460019,GPSB00237,42,22,3.641584,102,56,54.89069,4692638.6686,331084.487,1110.293,42.3676782177778,102.948580747222
424,Өмнөговь, Баяндалай ,ГЦХ1 460027,GPSB00238,43,4,56.629518,103,14,52.799744,4771454.4984,357386.8026,1824.622,43.0823970883333,103.247999928889
425,Өмнөговь, Баяндалай ,ГЦХ1 460024,GPSB00239,43,17,49.630742,103,25,5.367547,4795025.127,371688.6327,1652.826,43.2971196505556,103.418157651944
426,Өмнөговь,Баяндалай,ГЦХ1-460025,GPSB00240,43,21,11.366343,103,25,54.423966,4801227.6666,372910.8922,1752.808,43.3531573175,103.431784435
427,Өмнөговь,Баяндалай ,Дунд сайхан уул    ,K48132,43,38,15.867374,103,46,19.984016,4832371.1161,400966.3307,2823.787,43.6377409372222,103.772217782222
428,Өмнөговь,Баяндалай,Хаалга уул ,K48070,43,45,49.58613,103,31,29.539386,4846693.6231,381264.1135,2567.124,43.763773925,103.524872051667
429,Өмнөговь,Баяндалай,261,K48122,43,39,50.208057,102,56,36.731543,4836604.0853,334195.4049,2135.557,43.6639466825,102.943536539722
430,Өмнөговь,Баяндалай,ГЦХ1 460045,GPSB00241,43,18,40.027026,103,45,48.259708,4796107.3296,399716.779,1607.446,43.3111186183333,103.763405474444
431,Өмнөговь,Баяндалай,ГЦХ1 460047,GPSB00242,42,40,30.467944,103,15,17.028915,4726216.1278,356996.9571,1343.353,42.6751299844444,103.254730254167
432,Өмнөговь,Баян-Овоо ,ГЦХ1-460054,GPSB00243,43,11,53.636277,105,19,35.121443,4782880.2516,526520.4874,1847.123,43.1982322991667,105.326422623056
433,Өмнөговь,Баян-Овоо,ГУГК-1893,K48202,43,19,54.656279,105,31,18.966235,4797799.3843,542312.4413,1644.593,43.3318489663889,105.521935065278
434,Өмнөговь,Баяновоо,ГЦХ1 460062,GPSB00244,42,22,36.942423,106,13,41.155464,4692357.9335,601106.5029,895.062,42.3769284508333,106.22809874
435,Өмнөговь,Баян-овоо,ГЦХ1 460057,GPSB00245,42,18,39.197715,106,33,58.9526,4685482.7191,629091.7038,870.641,42.3108882541667,106.566375722222
436,Өмнөговь,Баян-Овоо ,ГЦХ1-460068,GPSB00246,42,39,22.161281,106,15,34.326367,4723401.5784,603233.9214,1174.89,42.6561559113889,106.259535101944
437,Өмнөговь,Баян-овоо,ГЦХ1-460065,GPSB00247,42,36,30.053482,106,4,28.010223,4717883.4779,588131.0399,998.831,42.6083481894445,106.074447284167
438,Өмнөговь,Баян-Овоо,ГЦХ1 460066,GPSB00248,42,55,45.961822,106,10,36.978634,4753650.48,596040.5247,1197.388,42.9294338394444,106.176938509444
439,Өмнөговь,Баян-Овоо, ГЦХ1-460069,GPSB00249,43,11,59.057587,106,18,35.340051,4783828.4994,606415.1301,1453.412,43.1997382186111,106.309816680833
440,Өмнөговь,Баян-Овоо ,ГЦХ1 460070,GPSB00250,42,57,11.892346,106,31,36.507286,4756760.0991,624542.8477,1353.86,42.9533034294444,106.526807579444
441,Өмнөговь,Булган,Нивелировка-ВТС-РККА-822,L480927,44,21,35.671261,103,9,15.245201,4913505.0905,352914.2896,1217.721,44.3599086836111,103.154234778056
442,Өмнөговь,Булган,ГЦХ1 460034,GPSB00251,44,29,14.540132,103,28,43.972535,4927131.7473,379048.1072,1115.185,44.4873722588889,103.478881259722
443,Өмнөговь,Булган,ГЦХ1 460030,GPSB00252,44,7,18.716973,103,46,20.941614,4886140.8517,401786.3997,1273.275,44.1218658258333,103.772483781667
444,Өмнөговь,Булган,ГЦХ1 460031,GPSB00253,44,13,14.276595,103,50,51.55888,4897024.0607,407954.6574,1244.643,44.2206323875,103.847655244444
445,Өмнөговь,Булган,ГЦХ1 460036,GPSB00254,44,17,31.211277,103,56,35.524171,4904848.8211,415688.6155,1321.968,44.2920031325,103.943201158611
446,Өмнөговь,Булган,ГЦХ1 460032,GPSB00255,44,12,57.574615,104,2,14.455059,4896313.683,423100.7201,1308.396,44.2159929486111,104.0373486275
447,Өмнөговь,Булган,ГЦХ1 460035,GPSB00256,44,25,13.24388,103,40,24.014151,4919417.2723,394389.5994,1108.787,44.4203455222222,103.673337264167
448,Өмнөговь,Гурвантэс,БНМАУ-3562,K47279,42,49,58.409644,99,59,31.91277,4742735.3417,581091.5544,1383.838,42.8328915677778,99.9921979916667
449,Өмнөговь,Гурвантэс,ГЦХ1 460009,GPSB00257,43,9,15.929478,99,58,56.997682,4778432.1162,579881.32,1538.269,43.154424855,99.9824993561111
450,Өмнөговь,Гурвантэс,Шарик уул ,K47241,43,16,2.292754,99,52,56.56727,4790877.0454,571608.9439,1652.035,43.2673035427778,99.8823797972222
451,Өмнөговь,Гурвантэс,ГЦХ1 460001,GPSB00258,43,9,8.65369,100,58,55.025396,4779645.8679,661147.8867,1976.164,43.1524038027778,100.981951498889
452,Өмнөговь,Гурвантэс,ГЦХ1 460008,GPSB00259,42,51,54.529237,100,58,1.577692,4747716.6395,660688.0773,1326.276,42.8651470102778,100.967104914444
453,Өмнөговь,Гурвантэс,БНМАУ-3872,K47290,42,47,28.215346,100,38,30.165692,4738932.0476,634267.0185,1194.807,42.7911709294444,100.641712692222
454,Өмнөговь,Гурвантэс,БНМАУ-3518,GPSB00260,42,57,35.654999,100,35,26.072418,4757589.5631,629730.6845,1470.033,42.9599041663889,100.590575671667
455,Өмнөговь,Гурвантэс,БНМАУ-0175,GPSB00261,43,3,28.095013,100,29,25.468438,4768311.7359,621367.7035,1705.212,43.0578041702778,100.490407899444
456,Өмнөговь,Гурвантэс,ГЦХ1 460010,GPSB00262,42,49,30.382428,100,12,42.659309,4742105.5838,599056.1441,1336.366,42.82510623,100.211849808056
457,Өмнөговь,Гурвантэс,ГЦХ1 460002,GPSB00263,42,59,47.946664,101,5,16.659815,4762558.3339,670198.2016,1544.668,42.9966518511111,101.087961059722
458,Өмнөговь,Гурвантэс,ГЦХ1 460003,GPSB00264,42,56,46.723206,101,14,29.659815,4757290.6902,682869.268,1481.957,42.9463120016667,101.241572170833
459,Өмнөговь,Гурвантэс,ГЦХ1 460004,GPSB00265,42,50,38.263241,101,17,59.501307,4746052.8927,687935.4549,1348.65,42.8439620113889,101.299861474167
460,Өмнөговь,Гурвантэс,ГЦХ1 460005,GPSB00266,42,55,28.933453,101,24,5.887749,4755251.7039,695996.4601,1540.31,42.9247037369444,101.401635485833
461,Өмнөговь,Гурвантэс,ГЦХ1 460006,GPSB00267,42,57,2.781712,101,30,19.47472,4758393.9363,704379.5231,1564.294,42.9507726977778,101.505409644444
